y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2001,3,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,27,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,29,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,22,19.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,23,0.000,0.000,0.000,0.000,0.000,0.000,0.787,0.000,18.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,24,0.000,0.000,0.000,0.000,0.000,0.000,0.729,0.000,17.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,25,0.000,0.000,0.000,0.000,0.000,0.000,0.675,0.000,16.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,26,0.000,0.000,0.000,0.000,0.000,0.000,0.627,0.000,16.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,27,9.000,0.000,0.000,0.000,0.000,0.000,0.581,9.000,24.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,28,0.000,0.000,0.000,0.000,0.000,0.000,0.851,0.000,23.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,29,0.000,0.000,0.000,0.000,0.000,0.000,0.791,0.000,22.959,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,30,0.000,3.600,0.000,0.000,3.600,3.600,0.737,0.000,22.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,5,1,0.000,0.000,3.600,0.000,0.000,0.000,0.684,3.600,25.137,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.00
2001,5,2,0.000,0.000,0.000,0.000,0.000,0.000,0.744,0.000,24.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,5,3,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,23.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,4,0.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,23.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.03
2001,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.599,0.000,22.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.08
2001,5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.559,0.000,21.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.08
2001,5,7,0.000,0.000,0.000,0.000,0.000,0.000,0.521,0.000,21.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.07
2001,5,8,0.000,0.000,0.000,0.000,0.000,0.000,0.485,0.000,20.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.06
2001,5,9,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.000,20.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.05
2001,5,10,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.000,20.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.04
2001,5,11,0.000,0.000,0.000,0.000,0.000,0.000,0.390,0.000,19.630,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.04
2001,5,12,0.000,0.900,0.000,0.000,0.900,0.900,0.363,0.000,19.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.03
2001,5,13,0.000,0.000,0.000,0.000,0.900,0.900,0.337,0.000,18.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.03
2001,5,14,0.000,0.000,0.900,0.000,0.000,0.000,0.314,0.900,19.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.02
2001,5,15,0.000,3.600,0.000,0.000,3.600,3.600,0.304,0.000,19.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,16,0.000,0.000,0.000,0.000,3.600,3.600,0.282,0.000,18.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,17,0.000,0.000,3.550,0.000,0.054,0.050,0.261,3.546,22.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,18,0.000,0.000,0.050,0.000,0.000,0.000,0.289,0.054,21.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,19,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.000,21.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,20,8.000,0.000,0.000,0.000,0.000,0.000,0.245,8.000,29.466,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.01
2001,5,21,0.000,0.900,0.000,0.000,0.900,0.900,0.312,0.000,29.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.05
2001,5,22,0.000,0.000,0.900,0.000,0.000,0.000,0.286,0.900,29.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.07
2001,5,23,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.000,29.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.08
2001,5,24,2.000,0.000,0.000,0.000,0.000,0.000,0.248,2.000,31.248,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.07
2001,5,25,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.000,31.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.07
2001,5,26,2.000,0.000,0.000,0.000,0.000,0.000,0.217,2.000,32.789,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.07
